"Status","Name","Duration in ms","Description"
"passed","unknown.RetrieveCrossCurrency__success","79",""
"passed","unknown.FTPPUT_WildCardInFileName","2371",""
"passed","unknown.UpdateTrade_TradeFinalize_Error_SingleTrade_IsAllOrNothing_False_MState_UnSupportedState","2937",""
"passed","unknown.TradeMerge_CollapseBlotter_MMT_Trades_MultipleNonElectronicBrokers_RunCompliance_ViolationReported","6328",""
"passed","unknown.WhenEditintChildOrderToSPIsSuccessfulExpectTwoClerkAccept","6023",""
"passed","unknown.WhenProcessingFill_LackingBrokerLevelSide_TheActionOnTheTradeIsUsedInTheTradeReport","520",""
"passed","unknown.InsertOrUpdateSecurityTest_Insert_Success","1174",""
"passed","unknown.WhenSecurityPassesDefaultFilterAndAutoCreate","3034",""
"passed","unknown.TestTradeRule_ManualBreakOutManagerAllocation","5202",""
"passed","unknown.InsertSecUDF_AcceptsUserDefinedField_ForNumericType","7",""
"passed","unknown.WhenTradeImporterIsExcludedFromTradeEntrySourcesCheckForLocates","93380",""
"passed","unknown.GetLots","212",""
"passed","unknown.EzeIntradayXML_CheckForDeleteForFullIntraday","27823",""
"passed","unknown.ChangeManager_BatchSelect_Targeted_and_MMT_Trades","20871",""
"passed","unknown.ValidatePSSymbol","10",""
"passed","unknown.TradeMerge_BatchSelect_Targeted_Trades_RunCompliance_ViolationReported","6164",""
"passed","unknown.UpdateTrade_TradeFinalize_Error_MultipleTrade_3_IsAllOrNothing_True_TState","4756",""
"passed","unknown.RunBringToMarketValue","610",""
"passed","unknown.RetrieveBroker_ValidSuccess","84",""
"passed","unknown.UpdateTrade_TradeFinalize_Error_MultipleTrade_3_IsAllOrNothing_False_TState","5283",""
"passed","unknown.SingleBrokerFullyFilledF5Trade","361066",""
"passed","unknown.TestGetAllocationTargetLotForBuyTrade_WithRoundTo3_MinAmount1","17",""
"passed","unknown.Test_RetrieveAggregatedPositions_Security","49110",""
"passed","unknown.WhenMovingTargetedTradesFromStagingToTrading_InvalidTradesSelected_DefaultCustodianRuns_SendingLessThan100Percent","17943",""
"passed","unknown.TradeImporter_SendToStaging_MMT","405",""
"passed","unknown.Verify_Execution_Correction_HardMatchRollUp","17586",""
"passed","unknown.WhenChildOrderEditWithPermOnAndEMSComplianceOnlyTrue_TsValidationFails_ExpectReject","6019",""
"passed","unknown.InsertOrUpdatePosition_AllOrNothingFalse_ValidData","1543",""
"passed","unknown.Verify_UnsolicitedReplace","13493",""
"passed","unknown.Verify_QND_MDO_PartiallyFilledGTC_Order_Status","24215",""
"passed","unknown.DeleteCurrency__success","206",""
"passed","unknown.TradeMerge_CollapseBlotter_Targeted_Trades_MultipleBrokers_RunCompliance_ProcessUserOverridingComplianceAction","6406",""
"passed","unknown.WhenMovingMmtTradesFromTradingToStaging_ComplianceViolationIsTriggered_SecondCallFromTradingToStagingSucceeds","10965",""
"passed","unknown.TestGetAllocationTargetLot_BuyTrade_PercentTo_BasisTotalAsset_ForTheoShares_WithExistingTrades_ValidateResponse","6183",""
"passed","unknown.TradeMerge_BatchSelect_MMT_Trades_MultipleNonElectronicBrokers_RunCompliance_ViolationReported","6302",""
"passed","unknown.RetrieveTrader_Success","56",""
"passed","unknown.WhenParentOrderEntrySuccessExpectsClerkAccept","3008",""
"passed","unknown.WhenNotifyingMRS_InelligibleLastMarket_FillISsFiltered","60727",""
"passed","unknown.UpdateStrategy_AllOrNothingFalse_ValidData","56",""
"passed","unknown.SetCustodianTest","448",""
"passed","unknown.UpdateTrade_TradeFinalize_Error_MultipleTrade_3_IsAllOrNothing_True_TState_InRequest","2820",""
"passed","unknown.WithMultipleManualFillsAndAmendsAndCancels_NotifyMRS_PerformVariousSanityChecks","15111",""
"passed","unknown.Verify_MBS_DropModel_Br_status_changes","6926",""
"passed","unknown.WhenGettingLocateRequestFromTradewindsLocatesAddedToBlotter","251188",""
"passed","unknown.PreUpgradeAnalyticsTemplates","11",""
"passed","unknown.WhenCreatingPSSymbolsHaveSomeCreatedAllValid","138",""
"passed","unknown.UpdateManager_AllOrNothingFalse_ValidInvalid","91",""
"passed","unknown.UpdateTrade_NoTradeFinalize_Success_MultipleTrade_2_AllOrNothing_True_MState","3013",""
"passed","unknown.RemoveAllocations_FromMultipleTrades_SingleTradeIsCreated_ViolationsAreReported","5904",""
"passed","unknown.WhenUsingLookThrough_UpdateCompositePosition","40445",""
"passed","unknown.TradeMerge_BatchSelect_MMT_Trades_SingleElectronicBroker","2886",""
"passed","unknown.Verify_MBS_DropModel","2004",""
"passed","unknown.DeleteTrader_AllOrNothingTrue_ValidData","66",""
"passed","unknown.RetrieveAllTrade","35531",""
"passed","unknown.DeleteManager_AllOrNothingTrue_ValidInvalid","42",""
"passed","unknown.GetStockLoanLocateIdByTradeId_ByCheckingParticularTradeID_ReturnsCorrectRecord","43",""
"passed","unknown.Verify_TraderMatchingWithNewPartyIdStyle","3286",""
"passed","unknown.EzeIntradayXML_CheckForCommAndFeeInNew","14581",""
"passed","unknown.WhenRunningScenarioRecieveDoneCallback","7",""
"passed","unknown.ImportLocatesAndAdd","5313",""
"passed","unknown.WhenExecutingRelativeColumnOperationOfRemove","1038",""
"passed","unknown.FTPGET_BadFtpSite","25817",""
"passed","unknown.WhenGettingViewTypeList","184",""
"passed","unknown.AuthenticateUserTest","30013",""
"passed","unknown.WhenParentOrderEditWithWarningLevelViolationExpectsViolationAndAck","6012",""
"passed","unknown.InsertOrUpdateSecurityDataBatch_InsertSecuritiesWithMifidFields","155",""
"passed","unknown.Test_IgnoreRebilledTradesInPositionCheck_True","97323",""
"passed","unknown.TradeMerge_CollapseBlotter_MergeBrokers","7737",""
"passed","unknown.InsertOrUpdateSecurityTest_Update_Success","2715",""
"passed","unknown.ValidateSubscriptionForBlotterSymbolsUsingDelayedAdapter","12",""
"passed","unknown.ExecuteUnasociateTradesOperation_InvalidRequest","16",""
"passed","unknown.TestGetAllocationTargetLotForBuyTrade_WithRoundTo1_MinAmount26","18",""
"passed","unknown.ReviewTrades","19014",""
"passed","unknown.WhenNotifyingMRS_SecurityFilterOnAndNonEligibleSecurity_FillISsFiltered","60697",""
"passed","unknown.WhenNotifying_CancellingAFillThatWasFiltered_NoMessagesAreSent","151",""
"passed","unknown.CreateSecurityTest_Invalid_Data_Failure","753",""
"passed","unknown.SFTPPUT_WildCardInFileName","5547",""
"passed","unknown.UpdateTrade_NoTradeFinalize_Success_MultipleTrade_3_IsAllOrNothing_False_TState","3235",""
"passed","unknown.InsertTradeUDF_AcceptsUserDefinedField_ForTimestampType","6",""
"passed","unknown.Test_UpdateSingleExecution_UpdateInvalidTradingCapacity","11022",""
"passed","unknown.GetIndustriesTest","139738",""
"passed","unknown.WhenCheckingCompliance_APITradeEntry_CreateTradeWorklow_ViolationsNotReported_TradeCreated","2380",""
"passed","unknown.RenameSecurityTest_Success","417",""
"passed","unknown.WhenCreate_Sc1Trades_VerifyAnalyticsGrid_Success","9226",""
"passed","unknown.WhenGettingSecurityListBySymbols","3138",""
"passed","unknown.GetManagerAllocationScheme_ByCheckingParticularScheme_ReturnsCorrectRecord","11",""
"passed","unknown.WhenChildOrderEditWithPermOnAndEMSComplianceOnlyTrue_PassesWithCompliance_ExpectClerkAccept","8021",""
"passed","unknown.WhenSecurityPassesFilterAndAutoCreate","3015",""
"passed","unknown.ChangeManager_MMT_Trade_ProcessUserOverridingComplianceAction","5371",""
"passed","unknown.ValidateTradePublish_CreateTSateTrade_FullRefresh_DoNotIncludeCancelledTrades","57983",""
"passed","unknown.UpdateSecurityData_UpdateMifidFieldsOfSecurity","207",""
"passed","unknown.InsertTradeUDF_AcceptsUserDefinedField_ForNumericType","6",""
"passed","unknown.WhenCallingMRS_NotifyFill_NoErrorThrown","60023",""
"passed","unknown.WhenGettingSecurityBySymbol","1081",""
"passed","unknown.CreateForwardShortMStateTrade_WithDefaultDates","3033",""
"passed","unknown.Verify_Exec_Broker_Column_Mapping_WithCustomFIXTag_OverFIX42","13317",""
"passed","unknown.WhenCheckingCompliance_EditTradeWorkflow_AfterUserProvidedOverrideComments","5469",""
"passed","unknown.ProcessResidual_TradeWithSingleBroker_ResidualTradeIsCreated","15685",""
"passed","unknown.WhenGettingInvestmentTrackingTransactionsByTransactionId","22",""
"passed","unknown.WhenGettingCurrencyData","1021",""
"passed","unknown.Verify_Execution_Correction_MatchAppend","17204",""
"passed","unknown.MergeRules_AddRule_FailureScenarios","225",""
"passed","unknown.UpdateSecurityTest_Failure","872",""
"passed","unknown.Test_InsertSingleExecution_NotAvailableAllDataInRequest","11062",""
"passed","unknown.WhenNotifying_TraderIsProvided_ProvidedTraderIsUsed","14",""
"passed","unknown.WhenValidatingIsModelingServiceAvailable","4",""
"passed","unknown.TradeImporter_SendToTrading_Targeted_PartiallyCommittedAndPartiallyFilled","1036",""
"passed","unknown.WhenSendingTradesForRollForward_Tolerance5000_RoundingHundredths_SimplifyDates_SendTradesCorrectly","2588",""
"passed","unknown.CreateIssuer_AllOrNothingFalse_ValidData","2034",""
"passed","unknown.VerifyRenameSecurity","285",""
"passed","unknown.WhenSecurityPassesFilterAndFailOnPrimaryMatch","8049",""
"passed","unknown.FillsAppear","2593",""
"passed","unknown.InsertFinalizedTradeIgnoreTriggers_TestForTotalFunctionality","41",""
"passed","unknown.CreateBatchTrades_UsingDefinedStrategies","2650",""
"passed","unknown.CreateTrade_WhenComplianceServiceisStopped_TradeShouldnotBeCreatedOnBlotter","18545",""
"passed","unknown.Verify_QND_MDO_ExpireTime_On_Archive_Rollover","83791",""
"passed","unknown.InsertAllocatedTradeData_InsertTradeWithSymbolWithExchange","453",""
"passed","unknown.CreateTrade_TradeFinalize_Error_SingleTrade_IsAllOrNothing_False_MState_UnSupportedState","2011",""
"passed","unknown.WhenTestingParentOrderEntrySwapWithCustodianDoesNotExistExpectsClerkReject","2108",""
"passed","unknown.TestTradeRule_ManualEditTrade_MoveFromTradingToStaging","5429",""
"passed","unknown.WhenGettingIntradayChartingHistoricalData","11",""
"passed","unknown.AmountSame_DecreaseAveragePrice","5687",""
"passed","unknown.ChangeTradeDetails_MMTTrade_Buy","247938",""
"passed","unknown.Test_UpdateExecution_WithValidAutocalculationField_ExpectedSucess","11548",""
"passed","unknown.UpdateTrade_TradeFinalize_Error_SingleTrade_IsAllOrNothing_True_MState","5497",""
"passed","unknown.ChangeTradeTraderTest_JustUpdateTrader","25",""
"passed","unknown.ChangeTrader_MMT_Trade_ValidTrader","5287",""
"passed","unknown.EZEFileMoveInterface_CopyAndOverWithMMDDYY","111",""
"passed","unknown.WhenRunningScenarioOnOptionMissingExcerciseTypeRiskSessionLogHasError","4730",""
"passed","unknown.WhenRunningAnIndexShockOnEquityS1DeltaAdjExposureStarIsCorrectInAnalytics","1",""
"passed","unknown.WhenRunningRiskReportWithOneScenarioScenarioNumbersAreCorrect","14737",""
"passed","unknown.WhenCowboyTradeEditSucceedsExpectClerkAccept","5009",""
"passed","unknown.WhenFinalizingSellTrade_WithImpliedBrokerCommission_CalculationCorrect","16974",""
"passed","unknown.ValidateSubscriptionForHoldingsUsingDelayedAdapter","25",""
"passed","unknown.GetSecType","294",""
"passed","unknown.Verify_Execution_Cancellation_Match","16732",""
"passed","unknown.WhenParentOrderEntrySwapFailTradingServiceValidation","2008",""
"passed","unknown.WhenEditingStagedPairOrdersFailsTSExpectPendingComplianceViolation","4016",""
"passed","unknown.AmountIncrease_NoChangeAveragePrice","11120",""
"passed","unknown.CreateCountry_AllOrNothingFalse_Success","1274",""
"passed","unknown.UpdateTrade_NoTradeFinalize_Success_MultipleTrade_3_IsAllOrNothing_False_MState","3131",""
"failed","unknown.EzeIntradayXML_CompareDelphiDotNetXML_TradeWithTwoAllocations_EOD","29689",""
"passed","unknown.ViewFullyRealizedPositions","11331",""
"passed","unknown.WhenGettingFullViewData","22",""
"passed","unknown.GetLocateIDByCustodian_ByCheckingParticularCustodian_ReturnsCurrentID","31",""
"passed","unknown.GetInventoryItem_SendCustodiansWithZeroLocates","88249",""
"passed","unknown.CreateTrader_AllOrNothingFalse_ValidData","29",""
"passed","unknown.CreateTrade_NoTradeFinalize_Success_MultipleTrade_3_IsAllOrNothing_False_TState","3065",""
"passed","unknown.GetInventoryItem_DoNotIncludeCustodiansWithZeroLocates","89687",""
"passed","unknown.ValidateTradePublish_CreateTSateTrade_PersistSubscription","171671",""
"passed","unknown.TradeMerge_BatchSelect_MergeBrokers","12423",""
"passed","unknown.Verify_CancelExecution","8735",""
"passed","unknown.Verify_TradeGen_AppendRollup_TradeDoesNotExistOnBlotter","14118",""
"passed","unknown.EzeIntradayXML_CheckForCommAndFeeInAmend","20130",""
"passed","unknown.WhenSendingClosingTradesFromTradingToStaging_TheyAreSentSuccessfully","52604",""
"passed","unknown.WhenChildOrderEditWithPermOffAndEmsComplianceOnlyFalse_ComplianceViolation_AndExpectClerkAccept","8022",""
"passed","unknown.EnterF5SellTrade_CloseOutOfTrade_CheckTheoreticalAllocations","17507",""
"passed","unknown.Verify_UnsolicitedReplace_WithLimitToMarketValidation","12413",""
"passed","unknown.GetIssuers","312",""
"passed","unknown.ChangeManager_Targeted_Trade_RunCompliance_ViolationReported","5264",""
"passed","unknown.Verify_Ability_To_Send_HTFix_Tags","1483",""
"passed","unknown.Verify_ExecBrok_PartyID_Multiple_Row_Con_Mode","13568",""
"passed","unknown.RunBreakdownRebalance","2307",""
"passed","unknown.EzeIntradayXML_CheckForAmendInRebillFullIntraday","85439",""
"passed","unknown.Verify_TradeGen_AppendRollup_RollUpTradeAmount","12295",""
"passed","unknown.Verify_BrokerUDFValuesDeletion_UpOnBrokerRowDeletion","20966",""
"passed","unknown.WhenEditingPairsOrdersFailTSValidation_WithViolation_ExpectTwoClerkReject","4027",""
"passed","unknown.WhenNotifyingMRS_ExcludedSecType_FillISsFiltered","60666",""
"passed","unknown.DeleteStrategy_AllOrNothingFalse_ValidInvalidData","124",""
"passed","unknown.TestGetAllocationTargetLotForBuyTrade_ModelProRata_BasisP4_ReturnSuccessResponse","28",""
"passed","unknown.UpdateTrade_TradeFinalize_Error_SingleTrade_IsAllOrNothing_True_MState_InRequest","3000",""
"passed","unknown.WhenDoingDataIntegretyCheck_SecTypeOverridesAreRespected","3358",""
"passed","unknown.CreateTrade_NoTradeFinalize_Success_MultipleTrade_2_AllOrNothing_False_TState","3047",""
"passed","unknown.WhenNotifying_LastMktIsCorrect","1035",""
"passed","unknown.WhenCowboyTradeEntryExpectClerkAccept","2007",""
"passed","unknown.Verify_TradeGen_MatchRollup_BrokerNotCommitted","12883",""
"passed","unknown.WhenMovingTargetedTradesFromStagingToTrading_InvalidTradesSelected_DefaultCustodianDoesNotRun_AllowNoPositionCheckFalse_CustProofSPFalse","11345",""
"passed","unknown.CreateStrategyTest_AllOrNothingFalse_ValidData","57",""
"passed","unknown.AmountIncrease_IncreaseAveragePrice","12485",""
"passed","unknown.Verify_MDO_Append","217920",""
"passed","unknown.ImportRealTimeSubscriptionTest","84937",""
"passed","unknown.WhenChildOrderEntryPassesExpectClerkAccept","4011",""
"passed","unknown.WhenGettingCustomColumnDependencyListByType","26",""
"passed","unknown.TradeMerge_BatchSelect_Targeted_Trades_MultipleElectronicBrokers","8462",""
"passed","unknown.CreateBroker_AllOrNothingTrue_ValidandInvalidShortName","22",""
"passed","unknown.GetTradesTest_ReturnWithField","36",""
"passed","unknown.WhenMovingTargetedTradesFromStagingToTrading_InvalidTradesSelected_DefaultCustodianRuns_Sending100Percent","14426",""
"passed","unknown.TradeMerge_CollapseBlotter_Targeted_Trades_SingleNonElectronicBroker","6131",""
"passed","unknown.RightClickBringTo","638",""
"passed","unknown.RetrieveTrader_Failure","19",""
"passed","unknown.WhenEditingChildOrdersStagedPairPermOffAndEMSComplianceOnlyFalse_IsSuccessful_ExpectClerkAccept","6033",""
"passed","unknown.Verify_TradeIncomingOverrideOnDropCopyForAppend","113677",""
"passed","unknown.RemoveAllocations_SingleTradeIsCreated_ViolationsAreReported","5979",""
"passed","unknown.WhenSecuritySwapPassesDefaultFilterAndSuccessOnPrimaryMatch","12040",""
"passed","unknown.WhenGettingPortfolioGroupsPerPortfolio","52",""
"passed","unknown.ChangeTrader_Targeted_Trade_UnchangedTrader","5237",""
"passed","unknown.GetSubIndustriesTest","119",""
"passed","unknown.TestGetAllocationTargetLotForBuyTrade_ModelLevelerBuy_BasisTotalAssets_ForTheoShares_WithExistingTrades_ReturnSuccessResponse","9620",""
"passed","unknown.Verify_TradeGen_AppendRollup_TradeExistsOnBlotter","14569",""
"passed","unknown.SFTPGET_GetFirstNewFile","7374",""
"passed","unknown.PrincipalBrokerFeeTest","6013",""
"passed","unknown.InsertOrUpdateSecurityTest_Update_Failure","609",""
"passed","unknown.WhenInsertingNewSecurity_RiskServiceGeneratesSymbology","2455",""
"passed","unknown.WhenSecuritySwapPassesFilterAndAutoCreate","5025",""
"passed","unknown.CreatetradewithExchangeEIDOSEC1","2687",""
"passed","unknown.WhenRunningTradeForNeed_ClosedCashBalancesTrue_Tolerance6000_ColumnValuesAreCorrect","244",""
"passed","unknown.TradeMerge_CollapseBlotter_MMT_Trades_SingleNonElectronicBroker_RunCompliance_ProcessUserOverridingComplianceAction","6931",""
"passed","unknown.ProcessResidual_TradeWithMultipleBrokers_ResidualTradeIsCreated","15499",""
"passed","unknown.Verify_Execution_Cancellation_MatchAppend","17488",""
"passed","unknown.UpdateAllocation_ByProvidingNullUser_ThrowsException","1",""
"passed","unknown.UpdateTrade_TradeFinalize_Error_MultipleTrade_2_AllOrNothing_False_TState_UnSupportedState","3215",""
"passed","unknown.UpdateTrade_TradeFinalize_Error_MultipleTrade_2_AllOrNothing_False_MState_InRequest","3240",""
"passed","unknown.UpdateTrade_TradeFinalize_Error_MultipleTrade_2_AllOrNothing_True_MState_UnSupportedState","2858",""
"passed","unknown.WhenSecurityPassesDefaultFilterAndFailOnSecondaryMatch","8103",""
"passed","unknown.Verify_ApprovalList_ExecBroker_No_Associated_ApprovalList_PassThroughWithoutCheck_TradeGen","1440",""
"passed","unknown.UpdatePortfolio_AllOrNothingTrue_ValidData","139",""
"passed","unknown.FTPPUT_MMDDYYDateinLocalFileName","2285",""
"passed","unknown.EnableDisableAPI_EnablesOrDisablesRules_CausesOrKeepsFromFiring","3952",""
"passed","unknown.NumberOfTradesUsingUDF_ByCheckingParticularUser_ReturnsCorrectList","7",""
"passed","unknown.TradeImporter_SendToStaging_InsertMstateTradesAsTstate","246",""
"passed","unknown.TraderHasMultipleReferences_GetFirmLEIByTrader_StillReturnsFirmLEI","38",""
"passed","unknown.InsertSecurityWithMifidFields","27",""
"passed","unknown.TradeMerge_BatchSelect_Targeted_Trades_SingleNonElectronicBroker","5534",""
"passed","unknown.DeleteManager_AllOrNothingFalse_ValidData","49",""
"passed","unknown.ValidateTradePublish_CreateMSateStagingTrade","27431",""
"passed","unknown.WhenUsingLookThroughBySecurity_LookThroughTrue","173",""
"passed","unknown.TradeMerge_CollapseBlotter_MMT_Trades_MultipleNonElectronicBrokers","7812",""
"passed","unknown.AutoTradeRule_CreateNewTrade_WithComplianceCheck_ViolationReported","7880",""
"passed","unknown.DeleteSecurity","1361",""
"passed","unknown.Verify_NewF9Trade_WithBrokerUDF_WithoutValue","20840",""
"passed","unknown.TryDeleteSecurity","653",""
"passed","unknown.WhenGettingModelBenchmarkData","1171",""
"passed","unknown.WhenGettingSecuritiesWithByXSecurityProperties","1023",""
"passed","unknown.SecurityDataRequestUsingKeys_RetrieveMiFiDFieldsWhendDefaultValuesarePassed","347",""
"passed","unknown.CheckBrokerExists_ByCheckingParticularBroker_ReturnsTrue","23",""
